R_Shoulder-px,R_Shoulder-py,R_Shoulder-pz,R_Shoulder-qx,R_Shoulder-qy,R_Shoulder-qz,R_Shoulder-qz,R_Elbow-px,R_Elbow-py,R_Elbow-pz,R_Elbow-qx,R_Elbow-qy,R_Elbow-qz,R_Elbow-qz,R_Hand-px,R_Hand-py,R_Hand-pz,R_Hand-qx,R_Hand-qy,R_Hand-qz,R_Hand-qz,L_Shoulder-px,L_Shoulder-py,L_Shoulder-pz,L_Shoulder-qx,L_Shoulder-qy,L_Shoulder-qz,L_Shoulder-qz,L_Elbow-px,L_Elbow-py,L_Elbow-pz,L_Elbow-qx,L_Elbow-qy,L_Elbow-qz,L_Elbow-qz,L_Hand-px,L_Hand-py,L_Hand-pz,L_Hand-qx,L_Hand-qy,L_Hand-qz,L_Hand-qz
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,0,0,0,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,1.695181,0.05025744,-6.4863,0,0,0,1,
